Rank,Team Name,No. of Matches,Total Points,Rating
1,England,27,"3,226",119
2,New Zealand,22,"2,508",114
3,India,34,"3,802",112
4,Pakistan,22,"2,354",107
5,Australia,29,"3,071",106
6,South Africa,24,"2,392",100
7,Bangladesh,30,"2,753",92
8,Sri Lanka,29,"2,658",92
9,West Indies,41,"2,902",71
10,Afghanistan,18,"1,238",69
