Rank,Name,Nation,Rating
1,Alyssa Healy,AUS,785
2,Beth Mooney,AUS,749
3,Laura Wolvaardt,SA,732
4,Natalie Sciver,ENG,725
5,Harmanpreet Kaur,IND,716
6,Smriti Mandhana,IND,714
7,Meg Lanning,AUS,710
8,Rachael Haynes,AUS,701
9,Amy Satterthwaite,NZ,661
10,Chamari Athapaththu,SL,655
