Rank,Name,Nation,Rating
1,Babar Azam,PAK,890
2,Imam-ul-Haq,PAK,779
3,Rassie van der Dussen,SA,766
4,Quinton de Kock,SA,759
5,Jonny Bairstow,ENG,732
6,David Warner,AUS,725
7,Virat Kohli,IND,722
8,Rohit Sharma,IND,718
9,Ross Taylor,NZ,701
10,Steve Smith,AUS,697
