Rank,Name,Nation,Rating
1,Sophie Ecclestone,ENG,739
2,Jess Jonassen,AUS,725
3,Megan Schutt,AUS,722
4,Shabnim Ismail,SA,722
5,Jhulan Goswami,IND,698
6,Hayley Matthews,WI,671
7,Kate Cross,ENG,657
8,Ayabonga Khaka,SA,634
9,Rajeshwari Gayakwad,IND,617
10,Marizanne Kapp,SA,598
